node1,node2
USINA,KM5
KM5,1
1,TRILHO
1,KLABIN
KM5,2
KM5,3
KM5,4
2,5
4,6
5,CATTALINA 2
6,MULTITRANS
3,19
6,7
7,PLANTBEM
5,8
7,9
8,ANDALI
8,18
18,19
9,10
10,11
10,CBL
11,12
12,13
10,13
13,14
14,CATTALINA 3
14,15
15,CATTALINA 1
15,16
16,PETROBRAS
16,17
17,VOPAK
17,FOSPAR
9,20
19,20
20,BUNGE AZ5
18,28
19,22
20,21
21,PASA 2
21,23
22,23
23,24
24,PASA 1
24,25
22,26
25,26
26,27
27,28
25,29
27,30
28,32
29,ROCHA
29,31
30,31
30,33
31,35
32,33
33,34
34,36
34,35
35,37
36,40
40,COTRIGUACU
37,38
38,TCP
38,39
39,CORREDOR
39,41
41,INTERALLI
41,DREYFUS
41,VAZIO
41,42
42,CARGILL
42,43
43,CENTRO-SUL